nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
CHRISTIANE DE SOUZA YARED,F,23/02/1960,83,9,9,27,11,6,"308.558,90","23.957,30","44.324,43","35.762,57","54.189,41","41.149,82","32.246,76","23.122,06","18.987,00","15.357,26","19.462,29","0,00",0,"1.091.077,27","108.772,44","108.772,44","108.772,44","108.772,44","108.366,22","104.176,55","111.586,94","111.586,94","111.586,94","108.683,92",0,0,"33.763,00",0
CAROLINE RODRIGUES DE TONI,F,01/09/1986,91,1,0,45,12,1,"107.603,50","1.577,63","9.002,78","14.101,09","11.285,98","24.174,38","15.473,46","14.468,42","7.103,83","3.096,89","5.223,46","2.095,58",0,"910.528,01","84.266,39","86.627,52","88.148,33","92.593,08","96.367,63","96.367,63","93.146,11","92.800,95","92.800,95","87.409,42",0,0,"33.763,00",0
CHRISTINE NOGUEIRA DOS REIS TONIETTO,F,14/05/1991,88,4,2,59,10,4,"124.730,04","11.369,60","10.173,11","9.970,30","13.872,46","12.050,51","19.466,91","25.628,43","11.169,95","3.255,31","7.593,78","179,68",0,"789.351,13","69.040,75","69.101,84","69.101,84","71.632,90","76.266,55","85.504,27","88.597,50","88.597,50","88.597,50","82.910,48",0,0,"33.763,00",0
CELINA LEAO HIZIM FERREIRA,F,02/03/1977,71,21,2,18,24,1,"101.582,40","1.190,04","11.101,64","13.853,72","18.215,77","17.835,36","15.949,33","14.392,13","6.642,14","2.402,27","0,00","0,00",0,"1.102.763,97","110.531,62","110.840,11","110.489,74","109.406,57","110.401,05","109.266,63","109.432,72","110.798,51","110.798,51","110.798,51",0,0,"33.763,00",1
CARMEN EMÍLIA BONFÁ ZANOTTO,F,06/10/1962,92,0,0,62,15,0,"231.024,12","15.385,24","28.801,18","31.514,98","30.373,86","35.066,26","31.040,14","26.674,03","14.544,84","11.565,37","6.058,22","0,00",0,"981.103,21","101.754,20","102.247,05","101.219,81","102.930,96","102.930,96","101.603,76","86.458,75","91.918,18","92.236,93","97.802,61",0,0,"33.763,00",0
CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,F,02/07/1982,86,6,0,37,14,0,"289.071,20","7.971,69","16.907,30","54.747,61","49.861,80","57.969,92","53.352,84","20.869,99","15.804,77","9.670,34","1.855,18","59,76",0,"1.112.908,07","110.918,38","110.319,03","110.945,19","111.532,21","111.532,21","111.532,21","111.532,21","111.532,21","111.532,21","111.532,21",0,0,"33.763,00",0
DANIELA MOTE DE SOUZA CARNEIRO,F,10/02/1976,80,12,10,42,18,9,"304.951,63","35.968,58","36.604,61","48.540,64","61.049,56","50.236,04","27.308,97","20.808,56","13.155,35","11.253,04","0,00","26,28",0,"1.097.670,85","111.004,43","110.578,75","110.970,40","111.234,95","111.234,95","111.234,95","111.234,95","110.155,05","109.870,15","100.152,27",0,0,"33.763,00",0
SORAYA DE SOUZA MANNATO,F,10/03/1961,92,0,0,111,64,0,"276.291,75","31.353,75","37.397,79","57.239,48","36.607,77","43.635,09","15.176,75","23.098,74","18.128,98","8.706,64","4.946,76","0,00",0,"1.100.822,25","111.501,77","111.501,77","110.559,03","110.173,36","110.920,06","110.221,10","107.709,88","107.907,12","109.518,27","110.809,89",0,0,"33.763,00",0
DULCE FERREIRA PAGANI MIRANDA,F,15/12/1963,84,8,8,78,19,11,"385.034,30","17.405,28","54.422,42","66.007,20","43.629,27","48.597,93","16.964,63","42.936,18","44.081,35","12.782,41","38.029,26","178,37",0,"1.102.626,13","111.515,73","108.469,11","109.947,21","108.778,45","110.497,62","110.780,17","110.780,17","110.780,17","110.297,33","110.780,17",0,0,"33.763,00",0
ROSANA DE OLIVEIRA VALLE,F,08/05/1969,87,5,3,44,4,2,"336.434,57","21.183,33","29.131,46","53.484,17","52.840,25","41.134,85","34.551,95","41.195,46","30.158,94","20.867,06","11.662,38","224,72",0,"1.050.130,62","107.098,26","107.098,26","107.098,26","107.098,26","100.284,96","91.133,79","106.579,32","107.632,04","109.901,08","106.206,39",0,0,"33.763,00",0
RENATA HELLMEISTER DE ABREU,F,15/04/1982,48,14,14,5,28,10,"199.541,42","31.109,86","31.679,38","42.089,94","31.671,65","42.896,72","3.728,86",0,0,0,"14.647,92","1.717,09",0,"1.073.067,29","96.622,36","104.075,25","110.440,45","106.841,60","108.188,68","109.718,62","106.018,07","110.109,96","110.476,84","110.575,46",0,0,"33.763,00",0
EDNACE ALVES SILVESTRE HENRIQUE,F,04/09/1958,52,10,9,13,13,7,"243.584,49",0,0,0,"21.722,42","41.564,86","44.584,53","40.428,22","32.338,39","34.109,42","28.606,65","230,00",0,"1.109.015,64","110.222,29","107.865,76","109.797,12","111.663,63","111.512,59","111.590,85","111.590,85","111.590,85","111.590,85","111.590,85",0,0,"33.763,00",0
VANDA DENIR MILANI NOGUEIRA,F,17/09/1953,72,20,13,31,33,11,"391.634,75","45.066,55","49.027,62","29.462,19","36.127,46","71.009,98","22.618,07","41.106,51","44.816,37","25.900,00","26.500,00","0,00",0,"1.103.843,63","109.028,91","110.980,61","111.507,90","109.468,16","111.544,28","110.383,90","111.280,73","111.580,69","111.580,69","106.487,76",0,0,"33.763,00",0
ROSANGELA DE SOUZA GOMES,F,27/12/1966,77,15,15,2,0,0,"318.174,26","35.619,36","53.038,08","41.099,12","30.910,68","40.356,20","24.832,33","27.594,88","28.932,93","13.329,32","22.402,45","58,91",0,"1.114.958,70","111.495,87","111.495,87","111.495,87","111.495,87","111.495,87","111.495,87","111.495,87","111.495,87","111.495,87","111.495,87",0,0,"33.763,00",2
SHÉRIDAN ESTÉRFANY OLIVEIRA RAMOS,F,11/04/1984,53,39,35,0,3,0,"399.814,95","47.717,67","50.310,81","47.454,50","20.489,75","41.030,40","35.713,64","41.489,54","36.394,17","37.347,57","41.866,90","0,00",0,"1.045.548,64","104.351,76","98.699,47","100.259,52","100.363,57","99.170,39","111.192,45","104.911,24","108.772,24","109.791,30","108.036,70",0,0,"33.763,00",0
SAMIA DE SOUZA BOMFIM,F,22/08/1989,78,14,14,32,3,0,"312.644,24","29.863,31","33.173,07","52.100,08","33.373,57","49.527,82","25.800,86","31.637,36","25.034,27","10.727,26","21.406,64","0,00",0,"1.089.070,53","101.425,05","108.439,14","108.239,71","106.353,47","110.257,66","110.871,10","110.871,10","110.871,10","110.871,10","110.871,10",0,0,"33.763,00",0
ROSIANE MODESTO  DE OLIVEIRA,F,20/02/1978,0,0,0,0,0,0,"197.955,03","16.532,25","28.174,06","22.572,80","28.359,47","28.108,83","26.531,02","14.867,91","6.958,44","8.464,46","17.101,98","283,81",0,"1.056.422,10","109.718,66","110.767,63","111.653,67","111.653,67","109.880,49","109.891,34","111.617,27","97.483,92","90.265,59","93.489,86",0,0,"33.763,00",0
SILVIA CRISTINA AMANCIO CHAGAS,F,15/01/1974,89,3,2,55,36,5,"325.680,08","38.497,24","41.381,49","41.593,07","52.095,78","77.841,57","30.489,93","21.356,30","8.189,34","4.412,39","7.253,38","2.569,59",0,"1.112.657,25","111.374,48","110.870,15","110.767,11","111.370,23","111.247,85","111.259,60","111.526,12","111.514,99","111.410,91","111.315,81",0,0,"33.763,00",0
TABATA CLAUDIA AMARAL DE PONTES,F,14/11/1993,88,4,1,137,9,0,"282.725,01","38.950,69","27.888,06","35.331,21","32.068,77","49.942,23","49.334,59","25.146,00","5.016,41","3.076,08","15.953,95","17,02",0,"744.732,36","90.049,89","91.799,32","91.532,51","93.743,68","102.729,84","100.032,77","52.077,47","38.232,71","30.268,49","54.265,68",0,0,"33.763,00",1
SORAYA ALENCAR DOS SANTOS,F,04/12/1958,90,2,2,29,16,0,"241.340,36","30.377,64","25.882,69","44.839,17","32.605,66","18.501,89","34.461,17","25.720,88","19.262,46","5.904,46","3.618,71","165,63",0,"1.088.262,38","109.912,12","110.159,23","104.418,43","104.366,11","108.917,92","108.917,92","109.011,86","110.852,93","110.852,93","110.852,93",0,0,"33.763,00",0
TEREZA CRISTINA CORREA DA COSTA DIAS,F,06/07/1954,63,6,2,59,7,1,"144.090,44",0,0,"0,04","21.629,55","17.413,02","24.574,99","29.064,98","17.058,41","14.118,74","16.121,69","4.109,02",0,"682.604,66","0,00","0,00","1.279,50","71.166,60","104.538,87","108.750,39","111.222,82","102.614,06","93.234,05","89.798,37",0,0,"33.763,00",0
TALIRIA PETRONE SOARES,F,09/04/1985,76,16,14,27,51,19,"273.502,65","35.801,22","32.189,96","31.865,89","45.403,28","29.413,08","37.323,98","24.098,94","23.355,39","10.439,80","3.279,24","331,87",0,"1.114.287,26","111.647,51","111.647,51","111.647,51","111.555,29","111.584,31","111.647,53","111.647,53","110.216,76","111.417,00","111.276,31",0,0,"33.763,00",0
VIVIANE DA COSTA REIS,F,05/08/1991,81,11,11,79,39,18,"360.325,42","50.505,11","33.624,12","47.121,22","42.779,32","38.398,45","36.910,98","40.803,83","27.107,07","21.698,14","21.089,09","288,09",0,"1.108.885,82","111.413,83","111.501,88","108.988,28","109.564,43","110.684,14","111.041,26","111.423,00","111.423,00","111.423,00","111.423,00",0,0,"33.763,00",1
TEREZA NELMA DA SILVA PORTO VIANA SOARES,F,07/10/1957,79,13,13,103,84,49,"358.627,21","42.581,54","41.297,61","47.878,77","54.271,73","56.885,66","33.460,03","30.126,11","27.479,91","24.072,70","573,15","0,00",0,"1.096.693,18","111.471,49","109.973,66","109.423,19","109.733,42","109.422,19","104.705,24","109.483,86","110.785,88","110.860,47","110.833,78",0,0,"33.763,00",0
LUIZA ERUNDINA DE SOUSA,F,30/11/1934,78,14,14,37,23,9,"222.485,05","17.316,28","17.369,22","13.312,38","23.549,05","49.196,58","41.316,33","41.450,36","18.601,72","126,15","0,00","246,98",0,"984.473,08","106.370,19","98.801,78","96.737,67","96.737,67","96.737,67","96.737,67","96.737,67","96.737,67","96.737,67","102.137,42",0,0,"33.763,00",0
