nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem
DIMAS FABIANO TOLEDO JÚNIOR,M,23/05/1973,86,6,5,18,4,3,"280.254,39","30.575,40","29.897,78","33.987,99","37.782,58","34.645,39","23.877,46","33.775,98","26.291,36","16.347,48","12.634,33","438,64",0,"965.287,10","92.717,74","88.844,00","88.844,00","89.894,36","93.796,44","94.254,41","100.197,24","96.972,36","108.044,05","109.918,79",0,0,"33.763,00",0
DOMINGOS GOMES DE AGUIAR NETO,M,29/04/1988,79,13,6,30,31,6,"341.688,98","33.731,48","52.313,10","36.169,17","53.317,93","77.719,59","22.751,47","19.502,64","3.346,59","2.837,01","40.000,00","0,00",0,"1.105.842,15","111.544,43","110.497,19","110.497,19","107.599,23","111.235,68","111.617,24","111.617,24","111.617,24","111.617,24","106.952,23",0,0,"33.763,00",0
DOMINGOS SÁVIO CAMPOS RESENDE,M,25/03/1957,87,5,3,29,7,1,"307.857,07","24.341,19","50.435,52","43.947,22","32.735,37","48.074,76","26.928,66","27.300,43","24.815,98","18.843,40","9.599,00","835,54",0,"1.108.990,28","109.833,82","111.183,95","111.183,95","111.653,56","110.747,01","110.990,37","111.313,88","110.806,11","111.313,88","111.313,88",0,0,"33.763,00",0
DENIS ANDERSON DA ROCHA BEZERRA,M,17/03/1980,88,4,1,69,10,1,"369.035,79","46.094,78","53.674,69","52.475,51","52.185,85","40.861,85","33.475,40","24.901,37","18.145,39","17.544,23","29.104,45","572,27",0,"1.078.559,49","110.743,73","108.144,99","108.144,99","106.767,55","106.327,19","107.307,01","102.136,31","107.474,82","111.617,19","109.239,78",0,0,"33.763,00",0
LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR,M,15/12/1973,67,25,0,14,22,0,"260.002,60","27.501,17","33.784,37","41.465,77","43.233,68","38.833,58","24.163,31","23.117,56","18.685,19","9.168,17","0,00","49,80",0,"1.074.387,81","97.653,62","108.819,42","108.819,42","110.434,31","110.434,31","110.434,31","110.434,31","110.413,15","111.647,44","106.463,32",0,0,"33.763,00",0
FREDERICO DE CASTRO ESCALEIRA,M,24/03/1977,83,9,0,24,56,0,"309.442,84","31.170,62","36.914,75","41.257,27","38.087,59","42.514,00","33.769,22","28.862,16","24.728,50","11.486,99","20.435,08","216,66",0,"1.106.826,40","111.212,41","110.944,53","110.944,53","108.641,77","111.313,96","110.772,89","111.313,96","110.891,90","111.313,96","109.219,49",0,0,"33.763,00",0
JAZIEL PEREIRA DE SOUSA,M,03/05/1961,69,23,3,12,27,1,"324.091,32","53.231,07","44.873,85","55.545,89","35.428,27","35.377,77","36.517,71","20.837,34","20.773,89","21.505,53","0,00","0,00",0,"1.115.897,66","111.279,95","111.653,51","111.653,51","111.653,51","111.653,51","111.477,80","111.653,51","111.653,51","111.653,51","111.653,51",0,0,"33.763,00",0
ZACARIAS CALIL HAMU,M,05/11/1953,82,10,6,85,32,6,"227.416,04","25.614,66","32.870,88","33.504,56","32.975,66","32.600,29","18.394,14","17.770,75","7.364,25","5.362,04","20.331,91","626,90",0,"806.210,41","83.672,50","81.413,26","81.413,26","83.956,98","83.956,98","83.754,79","77.891,18","77.891,18","77.891,18","77.891,18",0,0,"33.763,00",0
ÉDIO VIEIRA LOPES,M,04/01/1952,71,21,5,18,7,2,"343.353,54","42.432,81","39.836,40","47.117,63","54.268,93","97.784,62","14.519,68","22.739,81","16.760,34","878,14","7.015,18","0,00",0,"1.109.839,83","110.495,02","111.469,88","111.469,88","111.408,97","111.368,53","111.370,96","111.441,31","111.441,31","111.441,31","108.907,52",0,0,"33.763,00",0
EDILAZIO GOMES DA SILVA JUNIOR,M,04/05/1981,87,5,5,12,1,1,"269.430,92","29.645,70","67.991,37","21.709,65","54.054,00","19.692,50","28.378,82","18.023,27","5.308,77","14.235,23","10.391,61","0,00",0,"1.113.908,02","111.402,54","111.659,65","111.659,65","111.166,30","111.659,65","111.659,65","111.659,65","110.963,46","111.241,12","111.310,78",0,0,"33.763,00",0
LEONARDO RIBEIRO ALBUQUERQUE,M,14/06/1978,91,1,0,27,3,1,"313.609,03","42.371,40","34.110,23","43.935,60","51.992,40","41.703,89","36.956,95","29.525,44","11.128,25","9.478,35","12.121,45","285,07",0,"1.047.250,04","99.981,22","99.231,78","99.231,78","108.961,58","104.982,41","110.759,92","111.287,34","105.356,57","102.212,41","103.517,24",0,0,"33.763,00",0
LUIZ ALBERTO OVANDO,M,25/09/1949,86,6,5,70,12,0,"340.885,82","40.038,05","41.231,34","52.947,39","46.480,82","47.335,38","30.870,88","29.474,27","27.038,62","21.398,59","3.657,89","412,59",0,"973.451,59","96.640,72","97.315,81","97.315,81","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62",0,0,"33.763,00",0
EDUARDO HENRIQUE MAIA BISMARCK,M,14/11/1981,81,11,11,72,16,7,"384.464,17","42.771,78","48.433,07","53.046,89","40.615,87","53.171,37","35.061,57","49.986,03","24.512,53","5.591,91","31.221,24","51,91",0,"1.081.811,75","108.439,60","102.925,37","102.925,37","105.453,61","109.885,00","110.998,37","110.998,37","110.998,37","110.998,37","110.998,37",0,0,"33.763,00",1
EDUARDO LUIZ BARROS BARBOSA,M,25/08/1958,92,0,0,90,17,0,"244.717,26","22.913,32","25.992,80","30.951,65","37.263,00","34.686,06","29.255,32","23.832,28","9.244,83","5.608,98","24.588,51","380,51",0,"1.114.565,19","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.485,04",0,0,"33.763,00",0
JOSE EDUARDO PEREIRA DA COSTA,M,16/02/1968,83,9,9,10,15,6,"327.904,71","37.602,77","27.632,71","45.130,56","42.628,52","64.988,16","22.063,45","21.894,85","13.694,30","16.136,05","36.133,34","0,00",0,"1.112.028,74","111.313,96","111.421,78","111.421,78","111.429,22","111.429,22","111.429,22","111.429,22","110.376,50","111.374,63","110.511,03",0,0,"33.763,00",0
EDUARDO NANTES BOLSONARO,M,10/07/1984,76,16,14,27,18,6,"289.240,67","19.129,11","45.801,56","20.862,74","34.033,24","20.812,35","36.151,56","54.678,40","29.120,22","20.452,30","7.817,74","381,45",0,"1.098.174,63","111.598,86","111.447,23","111.447,23","111.308,14","109.360,58","109.301,13","107.577,22","107.577,22","108.466,86","110.003,51",0,0,"33.763,00",1
EFRAIM DE ARAÚJO MORAIS FILHO,M,18/03/1979,73,19,9,6,19,5,"259.626,75","31.920,25","54.289,28","52.463,46","51.650,40","42.763,10","7.412,58","9.627,39","8.755,96","1,36","558,52","184,45",0,"1.115.589,62","111.148,60","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.575,98","111.544,43",0,0,"33.763,00",0
